PRODUCTID,LOCATIONID,ZONEID,PRODUCTCATEGORYID,DIVISIONID,SOURCEID,EFFECTIVEDATE,PREVIOUSPRICE,PREVIOUSMULTIPLE,NEWPRICE,NEWMULTIPLE,CURRENTRETAILPRICE,CURRENTRETAILMULTIPLE,OVERRIDEPRICE,OVERRIDEMULTIPLE,COST,COMP1ID,COMP1PRICE,COMP2ID,COMP2PRICE,COMP3ID,COMP3PRICE,VOLUME,REVENUE,GROSSMARGIN,ISLOCKED,RULEEXCEPTION
171743,80,6,201,0,1169,2015-04-19 00:00:00.0,0.6800,1,0.6600,1,0.6800,1,,0,0.5000,0,,0,,0,,1206.4521,796.2584,193.0323,0,0
171743,84,6,201,0,1169,2015-04-19 00:00:00.0,0.6800,1,0.6600,1,0.6800,1,,0,0.5000,0,,0,,0,,1083.0951,714.8428,173.2952,0,0
171743,93,6,201,0,1169,2015-04-19 00:00:00.0,0.6800,1,0.6600,1,0.6800,1,,0,0.5000,0,,0,,0,,760.8147,502.1377,121.7304,0,0
171743,5,13,201,0,1169,2015-04-19 00:00:00.0,0.6400,1,0.6700,1,0.6400,1,,0,0.5000,0,,0,,0,,207.4643,139.0011,35.2689,0,0
171743,47,13,201,0,1169,2015-04-19 00:00:00.0,0.6400,1,0.6700,1,0.6400,1,,0,0.5000,0,,0,,0,,196.4569,131.6261,33.3977,0,0
171743,101,13,201,0,1169,2015-04-19 00:00:00.0,0.6400,1,0.6700,1,0.6400,1,,0,0.5000,0,,0,,0,,639.6647,428.5754,108.7430,0,0
171743,30,14,201,0,1169,2015-04-19 00:00:00.0,0.5900,1,0.5600,1,0.5900,1,,0,0.5000,0,,0,,0,,332.7780,185.8229,19.4339,0,0
171743,2,20,201,0,1169,2015-04-19 00:00:00.0,0.6500,1,0.6800,1,0.6500,1,,0,0.5000,0,,0,,0,,86.5390,58.8465,15.5770,0,0
171743,33,20,201,0,1169,2015-04-19 00:00:00.0,0.6500,1,0.6800,1,0.6500,1,,0,0.5000,0,,0,,0,,39.7588,27.0360,7.1566,0,0
171743,70,20,201,0,1169,2015-04-19 00:00:00.0,0.6500,1,0.6800,1,0.6500,1,,0,0.5000,0,,0,,0,,260.3493,177.0375,46.8629,0,0
